timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-09-17,49.44,50.22,49.191,49.32,49.32,32229525,0.0000,1.0
2021-09-16,50.21,50.22,49.415,49.69,49.69,30321859,0.0000,1.0
2021-09-15,49.14,50.3,49.06,50.26,50.26,38347479,0.0000,1.0
2021-09-14,49.6,49.689,48.235,48.45,48.45,29467876,0.0000,1.0
2021-09-13,48.41,49.4905,48.41,49.16,49.16,34249834,0.0000,1.0
2021-09-10,48.55,48.65,47.64,47.79,47.79,18756543,0.0000,1.0
2021-09-09,47.39,48.56,47.135,47.81,47.81,25264757,0.0000,1.0
2021-09-08,48.6,48.92,47.68,47.71,47.71,21899152,0.0000,1.0
2021-09-07,48.39,48.995,48.15,48.33,48.33,21240800,0.0000,1.0
2021-09-03,48.8,49.16,48.3904,48.62,48.62,19583983,0.0000,1.0
2021-09-02,48.13,49.29,48.13,48.9,48.9,30821648,0.0000,1.0
2021-09-01,48.35,48.63,47.51,47.69,47.69,31729917,0.0000,1.0
2021-08-31,48.49,48.93,48.28,48.4,48.4,26936587,0.0000,1.0
2021-08-30,49.5,49.69,48.71,48.73,48.73,15908886,0.0000,1.0
2021-08-27,48.63,49.64,48.52,49.31,49.31,23101326,0.0000,1.0
2021-08-26,48.49,48.76,47.95,48.03,48.03,20732666,0.0000,1.0
2021-08-25,48.3,49.035,47.98,48.77,48.77,19908774,0.0000,1.0
2021-08-24,48.01,48.645,47.93,48.4,48.4,22691060,0.0000,1.0
2021-08-23,47.0,47.74,46.9,47.61,47.61,29352209,0.0000,1.0
2021-08-20,45.37,46.175,45.17,45.89,45.89,30793775,0.0000,1.0
2021-08-19,46.2,46.5,45.14,45.79,45.79,49628129,0.0000,1.0
2021-08-18,48.0,48.375,46.9501,47.01,47.01,28152884,0.0000,1.0
2021-08-17,48.04,48.79,47.58,48.01,48.01,25554106,0.0000,1.0
2021-08-16,48.75,48.77,48.08,48.51,48.51,24129911,0.0000,1.0
2021-08-13,50.04,50.04,49.3,49.42,49.42,16260071,0.0000,1.0
2021-08-12,50.02,50.29,49.4,50.01,50.01,18269054,0.0000,1.0
2021-08-11,49.54,50.145,49.23,50.06,50.06,23843077,0.0000,1.0
2021-08-10,49.07,49.8,49.01,49.67,49.67,26641536,0.0000,1.0
2021-08-09,48.85,49.2,48.48,48.81,48.81,21096707,0.0000,1.0
2021-08-06,49.48,49.9,49.24,49.51,49.51,18107380,0.0000,1.0
2021-08-05,48.81,49.6619,48.6,49.06,49.06,22899994,0.0000,1.0
2021-08-04,48.96,49.565,48.435,48.51,48.51,32261915,0.0000,1.0
2021-08-03,48.86,49.96,48.4,49.86,49.86,32151045,0.0000,1.0
2021-08-02,49.42,50.62,48.94,49.02,49.02,28905400,0.0000,1.0
2021-07-30,50.09,50.3,49.09,49.39,49.39,24800341,0.0000,1.0
2021-07-29,50.35,50.57,49.8901,50.19,50.19,21834366,0.0000,1.0
2021-07-28,49.39,50.12,48.94,49.71,49.71,19584641,0.0000,1.0
2021-07-27,49.33,49.41,48.68,49.26,49.26,23444182,0.0000,1.0
2021-07-26,48.64,49.92,48.55,49.72,49.72,23633103,0.0000,1.0
2021-07-23,48.86,48.88,48.03,48.52,48.52,23475941,0.0000,1.0
2021-07-22,49.2,49.2,48.28,48.7,48.7,23635028,0.0000,1.0
2021-07-21,48.53,49.65,48.42,49.25,49.25,41021322,0.0000,1.0
2021-07-20,46.9799,48.09,46.58,47.59,47.59,41671023,0.0000,1.0
2021-07-19,47.02,47.63,46.3,46.96,46.96,57497409,0.0000,1.0
2021-07-16,50.48,50.5,48.585,48.68,48.68,37126896,0.0000,1.0
2021-07-15,50.26,50.87,49.86,50.1,50.1,29835401,0.0000,1.0
2021-07-14,52.53,53.14,50.61,50.81,50.81,33499696,0.0000,1.0
2021-07-13,52.51,52.84,52.06,52.37,52.37,24893404,0.0000,1.0
2021-07-12,52.25,53.085,51.88,52.77,52.77,20676528,0.0000,1.0
2021-07-09,52.414,52.89,51.8,52.85,52.85,25603035,0.0000,1.0
2021-07-08,51.13,52.235,50.95,51.75,51.75,24689883,0.0000,1.0
2021-07-07,52.83,53.32,51.47,52.05,52.05,30411932,0.0000,1.0
2021-07-06,54.51,54.61,52.69,52.91,52.91,34223122,0.0000,1.0
2021-07-02,54.58,54.87,54.11,54.69,54.69,15235946,0.0000,1.0
2021-07-01,55.1,55.27,54.3,54.81,54.81,23625827,0.0000,1.0
2021-06-30,53.37,54.0284,53.32,53.87,53.87,23517024,0.0000,1.0
2021-06-29,53.79,54.09,53.14,53.21,53.21,15955477,0.0000,1.0
2021-06-28,55.1,55.13,53.25,53.47,53.47,32851447,0.0000,1.0
2021-06-25,55.2,55.37,54.885,55.34,55.34,19164970,0.0000,1.0
2021-06-24,54.83,55.09,54.3,55.05,55.05,20878398,0.0000,1.0
2021-06-23,54.93,55.55,54.48,54.58,54.58,20276486,0.0000,1.0
2021-06-22,53.94,54.64,53.35,54.43,54.43,24172168,0.0000,1.0
2021-06-21,52.29,54.165,52.29,54.07,54.07,42183379,0.5303,1.0
2021-06-18,52.86,53.53,52.35,52.39,51.8811758714,56906115,0.0000,1.0
2021-06-17,55.75,56.22,53.26,53.99,53.4656362912,53470931,0.0000,1.0
2021-06-16,56.1,56.545,55.4,55.89,55.3471830397,29863199,0.0000,1.0
2021-06-15,55.49,56.335,55.35,56.19,55.6442693685,32142515,0.0000,1.0
2021-06-14,55.58,55.92,54.6905,55.14,54.6044672179,18872546,0.0000,1.0
2021-06-11,55.77,56.08,55.31,55.38,54.8421362809,19045746,0.0000,1.0
2021-06-10,56.39,56.65,54.98,55.57,55.0302909558,28676949,0.0000,1.0
2021-06-09,56.15,56.39,55.61,55.64,55.0996110991,28026119,0.0000,1.0
2021-06-08,55.32,56.09,54.66,55.99,55.446211816,28776500,0.0000,1.0
2021-06-07,55.74,56.08,55.43,55.51,54.97087369,20035194,0.0000,1.0
2021-06-04,55.74,55.98,54.925,55.75,55.208542753,26329405,0.0000,1.0
2021-06-03,55.0,55.69,54.65,55.38,54.8421362809,29380829,0.0000,1.0
2021-06-02,54.55,55.49,53.91,55.23,54.6935931166,33946723,0.0000,1.0
2021-06-01,53.24,54.3375,53.21,54.22,53.6934024766,36285148,0.0000,1.0
2021-05-28,52.4,52.47,51.93,52.21,51.7029240742,18565492,0.0000,1.0
2021-05-27,52.28,52.75,51.82,52.11,51.6038952979,19526767,0.0000,1.0
2021-05-26,51.66,52.255,51.42,52.07,51.5642837874,19777242,0.0000,1.0
2021-05-25,52.55,52.69,51.53,51.61,51.1087514167,24279253,0.0000,1.0
2021-05-24,52.52,52.8,51.9319,52.68,52.1683593225,24010194,0.0000,1.0
2021-05-21,52.57,52.935,52.12,52.16,51.653409686,25269890,0.0000,1.0
2021-05-20,52.11,52.29,51.31,52.05,51.5444780322,28261328,0.0000,1.0
2021-05-19,52.21,52.72,51.4,52.13,51.6237010532,43984817,0.0000,1.0
2021-05-18,54.65,54.845,53.36,53.46,52.9407837771,35217682,0.0000,1.0
2021-05-17,53.3,54.75,53.22,54.73,54.1984492354,33702063,0.0000,1.0
2021-05-14,52.45,53.69,52.45,53.49,52.97049241,28591832,0.0000,1.0
2021-05-13,51.89,52.85,51.18,51.88,51.3761291126,39849065,0.0000,1.0
2021-05-12,52.54,54.07,52.28,52.52,52.0099132805,41097761,0.0000,1.0
2021-05-11,52.53,53.2821,51.81,52.27,51.7623413399,56765912,0.0000,1.0
2021-05-10,54.3,55.14,53.61,53.65,53.128938452,34499000,0.0000,1.0
2021-05-07,52.15,53.715,51.96,53.63,53.1091326967,31598117,0.0000,1.0
2021-05-06,52.41,52.69,51.435,52.69,52.1782622001,29355230,0.0000,1.0
2021-05-05,51.41,52.58,51.41,52.42,51.9108845043,39810600,0.0000,1.0
2021-05-04,50.85,51.23,50.2,50.78,50.2868125739,26958756,0.0000,1.0
2021-05-03,49.96,50.88,49.8,50.75,50.2571039411,22870043,0.0000,1.0
2021-04-30,49.95,50.64,49.28,49.39,48.9103125842,29259482,0.0000,1.0
2021-04-29,50.83,51.2899,50.05,50.67,50.1778809201,33021248,0.0000,1.0
2021-04-28,48.8,50.3,48.76,50.11,49.6233197731,32936985,0.0000,1.0
2021-04-27,48.04,48.61,47.82,48.44,47.96953921,21134436,0.0000,1.0
2021-04-26,47.36,48.22,47.36,47.86,47.3951723078,17945890,0.0000,1.0
2021-04-23,47.15,47.75,46.87,47.54,47.0782802238,16952371,0.0000,1.0
2021-04-22,47.9,47.9157,46.9501,47.11,46.652456486,25031447,0.0000,1.0
2021-04-21,46.47,47.84,46.25,47.67,47.2070176329,28495529,0.0000,1.0
2021-04-20,48.18,48.25,46.59,47.07,46.6128449755,36286963,0.0000,1.0
2021-04-19,48.5,48.855,47.875,48.35,47.8804133114,20413942,0.0000,1.0
2021-04-16,49.15,49.27,48.195,48.4,47.9299276995,28594505,0.0000,1.0
2021-04-15,49.25,49.25,48.59,48.79,48.3161399268,24843124,0.0000,1.0
2021-04-14,48.28,49.835,48.23,49.19,48.7122550318,33383929,0.0000,1.0
2021-04-13,47.73,48.12,47.38,47.86,47.3951723078,22412666,0.0000,1.0
2021-04-12,48.61,48.96,47.64,47.81,47.3456579197,19598134,0.0000,1.0
2021-04-09,48.5,48.92,47.97,48.19,47.7219672694,22186742,0.0000,1.0
2021-04-08,48.8,48.81,47.95,48.51,48.0388593533,31883327,0.0000,1.0
2021-04-07,49.0,49.4,48.82,49.15,48.6726435213,24944345,0.0000,1.0
2021-04-06,49.35,50.005,48.9,48.98,48.5042946017,26628902,0.0000,1.0
2021-04-05,50.21,50.22,48.82,49.11,48.6330320108,26686143,0.0000,1.0
2021-04-01,49.28,50.33,49.02,50.31,49.8213773256,32519753,0.0000,1.0
2021-03-31,49.3,49.52,48.865,49.06,48.5835176226,24048696,0.0000,1.0
2021-03-30,49.32,49.93,49.03,49.4,48.9202154619,26696132,0.0000,1.0
